Year,SB,PS,U
1984,72,145,743
1985,81,154,818
1986,85,133,816
1987,103,203,1004
1988,134,246,1210
1989,133,264,1199
1990,173,279,1409
1991,203,323,1654
1992,209,359,1829
1993,241,400,2064
1994,300,452,2126
1995,297,517,2630
1996,301,555,2919
1997,348,652,3433
1998,372,644,3347
1999,426,851,4294
2000,415,789,4219
2001,438,912,4168
2002,551,1066,4831
2003,496,1105,5002
2004,458,1164,4998
2005,485,1289,4993
2006,538,1471,5674
2007,598,1582,6087
2008,622,1740,6636
2009,638,2007,7454
2010,625,1891,7369
2011,732,2129,8724
2012,755,2211,8949
2013,743,2114,8740
2014,760,2490,9791
2015,642,2490,9615
